Feature,Source,Group,Formula_Definition,Possible_Physical_Interpretation,Category,Used_By_Primary_Classifier,Channel_Dominance_R2_vs_Level,Leakage_Audit_Evidence
acpr_mean_db,17_extract_features_v3.py,Spectral regrowth (ACPR),"mean(acpr_lower_db, acpr_upper_db)",Average adjacent-channel power ratio; can be influenced by amplifier linearity.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
acpr_asymmetry_db,17_extract_features_v3.py,Spectral regrowth (ACPR),acpr_upper_db - acpr_lower_db,"Per the extraction script's rationale, symmetric regrowth is expected from amplitude compression alone, while asymmetry may indicate amplitude/phase distortion interacting.",C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
occupied_fraction,17_extract_features_v3.py,Spectral regrowth (ACPR),occupied bandwidth / capture bandwidth,A wider occupied band for the same protocol can imply greater spectral regrowth.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
const_spread_q1_deg,17_extract_features_v3.py,Constellation quality by amplitude,"circular std of angle(z^4), amplitude quartile 1",Stratifying constellation tightness by amplitude can separate distortion that grows with drive level from distortion that does not.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
const_spread_q2_deg,17_extract_features_v3.py,Constellation quality by amplitude,"circular std of angle(z^4), amplitude quartile 2",Stratifying constellation tightness by amplitude can separate distortion that grows with drive level from distortion that does not.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
const_spread_q3_deg,17_extract_features_v3.py,Constellation quality by amplitude,"circular std of angle(z^4), amplitude quartile 3",Stratifying constellation tightness by amplitude can separate distortion that grows with drive level from distortion that does not.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
const_spread_q4_deg,17_extract_features_v3.py,Constellation quality by amplitude,"circular std of angle(z^4), amplitude quartile 4",Stratifying constellation tightness by amplitude can separate distortion that grows with drive level from distortion that does not.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
global_index,raw metadata (data/raw),Excluded metadata (dataset ordering),Sequential position of the message in the full recorded dataset.,Encodes capture order rather than any transmitter characteristic.,A. Confirmed leakage / shortcut variable,No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,"verdict='known leak, excluded'; column-alone accuracy=0.850 vs chance=0.208"
timestamp_global,raw metadata (data/raw),Excluded metadata (dataset ordering),Capture timestamp of the message.,Encodes when a message was recorded rather than who sent it.,A. Confirmed leakage / shortcut variable,No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='SEVERE LEAK - exclude'; column-alone accuracy=0.848 vs chance=0.208
ra_lon,raw metadata (data/raw),Excluded metadata (receiver-side / geometry),Receiver antenna longitude.,"Ground-station position; flagged by the leakage audit as above chance and worth further investigation, though far below the severity seen for global_index/timestamp_global.",B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='suspicious - investigate'; column-alone accuracy=0.325 vs chance=0.208
ra_cell,raw metadata (data/raw),Excluded metadata (receiver-side),Receiver cell/beam identifier.,Receiver-side identifier; the leakage audit found only a weak signal for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='weak signal'; column-alone accuracy=0.293 vs chance=0.208
ra_alt,raw metadata (data/raw),Excluded metadata (receiver-side / geometry),Receiver antenna altitude.,Ground-station position; the leakage audit found only a weak signal for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='weak signal'; column-alone accuracy=0.251 vs chance=0.208
run_id,raw metadata (data/raw),Excluded metadata (dataset/session),Recording run identifier.,Dataset/session bookkeeping field; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.208 vs chance=0.208
confidence,raw metadata (data/raw),Excluded metadata (receiver-side),Receiver's decode-confidence score for the message.,Receiver-side quality metric; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.208 vs chance=0.208
direction,raw metadata (data/raw),Excluded metadata (link geometry),Direction field recorded for the message.,Link/geometry metadata; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.208 vs chance=0.208
level,raw metadata (data/raw),Excluded metadata (channel),Receiver-reported signal level.,Channel/link-budget metadata; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.204 vs chance=0.208
noise,raw metadata (data/raw),Excluded metadata (channel),Receiver-reported noise level.,Channel/link-budget metadata; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.203 vs chance=0.208
ra_lat,raw metadata (data/raw),Excluded metadata (receiver-side / geometry),Receiver antenna latitude.,Ground-station position; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.201 vs chance=0.208
center_frequency,raw metadata (data/raw),Excluded metadata (receiver-side),Receiver tuning centre frequency.,Receiver-side configuration field; the leakage audit found no signal above chance for this column alone.,B. Contextual/channel/receiver metadata (excluded; not demonstrated as leakage),No — excluded from the RF-fingerprint feature set,N/A — not part of the v1 waveform feature set,verdict='no signal'; column-alone accuracy=0.192 vs chance=0.208
